Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Lymphoblastoid BTO:0000773 X129.126 HM19.GM18489	45/402	4.89396729461179e-06	2.97879475998704e-05	0	0	2.21550041817675	27.0900474826127	DENND1C;IDI1;WIPF1;DOCK8;NCF4;CLEC16A;BCL10;TAPBPL;IFI30;OSGEP;RIC8A;TGOLN2;NUDCD2;NUP85;SNRNP70;RASSF5;PMVK;EPC1;CCDC50;PGM1;LRRC47;PTPN1;RBM14;MAP2K2;BRF1;FNBP1;FUCA1;LYSMD2;ACYP2;TBCB;TRNT1;CIP2A;CBFA2T2;ATAD3B;FBXO11;WDR11;APBB1IP;CNOT3;ELMO1;GEMIN4;AVL9;PDE7A;RGL2;SSBP3;TAF3
Hematopoietic PBMC BTO:0001008 879101114 replicate02-5	66/685	6.62894977233928e-06	4.00810009413627e-05	0	0	1.88509263396693	22.4779655370068	CEP57;SIGLEC9;UBE2D3;GIMAP1;GBA2;GIMAP8;FAM107B;HK1;UBASH3B;ABHD16A;ARL6IP5;COTL1;PIP4K2A;EPC1;MFSD1;MAP3K5;YWHAH;CAP1;DFFB;ABCC4;SUN2;GPX1;TPM4;TPM2;TPM1;MINK1;SYTL1;VPS13A;ARAP1;TC2N;CBFA2T2;FBXO11;UNC13D;SIRT3;BCR;RBP7;ACAP2;MAPKAPK3;RIN3;MAPRE2;SLC27A4;CUL5;ITPR1;AK3;CXCR4;ASAP1;CST7;PPOX;MICAL1;FAM177A1;FYN;GBP2;LYN;VASP;TRAPPC10;TTC39B;EHD1;TSPAN15;SNX18;STK24;TBXAS1;STRN;ESYT2;GALM;NIT1;RGL2
Lymphoblastoid BTO:0000773 X127.126 HM68.GM19139	22/139	7.14621563772449e-06	4.29243084029109e-05	0	0	3.27629513343799	38.8205839070857	RAB1A;KHNYN;FNBP1;GBE1;RFTN1;SRP54;TFEB;WIPI2;CBFA2T2;SAFB;FBXO11;SLC2A6;TERF2;PSMB8;TIAL1;RPUSD4;NUDCD2;NHP2;EPC1;CHMP4A;ACAA1;RGL2
Hematopoietic PBMC BTO:0001008 879101114 replicate02-6	66/687	7.29354259738446e-06	4.35229045190327e-05	0	0	1.87881591119334	22.2236137931948	CEP57;SIGLEC9;UBE2D3;GIMAP1;GBA2;GIMAP8;FAM107B;HK1;UBASH3B;ABHD16A;ARL6IP5;COTL1;PIP4K2A;EPC1;MFSD1;MAP3K5;YWHAH;CAP1;DFFB;ABCC4;SUN2;GPX1;TPM4;TPM2;TPM1;MINK1;SYTL1;VPS13A;ARAP1;TC2N;CBFA2T2;FBXO11;UNC13D;SIRT3;BCR;RBP7;ACAP2;MAPKAPK3;RIN3;MAPRE2;SLC27A4;CUL5;ITPR1;AK3;CXCR4;ASAP1;CST7;PPOX;MICAL1;FAM177A1;FYN;GBP2;LYN;VASP;TRAPPC10;TTC39B;EHD1;TSPAN15;SNX18;STK24;TBXAS1;STRN;ESYT2;GALM;NIT1;RGL2
Lymphoblastoid BTO:0000773 X130.126 HM27.GM11830	62/633	7.54830976376853e-06	4.47506935994849e-05	0	0	1.91733057982311	22.6133551924011	NCF2;DOCK8;PITPNA;INTS10;MRPL38;ADAR;PTPN23;APEH;AATF;CDC73;IPO9;RASSF2;PPP2R5E;DDI2;TLK1;EPC1;NELFB;PGLS;DENND2D;RFC5;MIOS;GPX4;DDX58;PABPC4;PAM16;NSMCE1;RABGGTB;HLA-F;CBFA2T2;FBXO11;CDC34;TMX2;OAS2;PEX3;TRAPPC6B;IVD;OAS3;ARHGEF7;DNMT1;TXNDC9;SDR39U1;VTI1A;PDE6D;USP25;AP3D1;TRAPPC8;TTC39C;SORL1;GATAD2B;BYSL;POLE4;RAD50;LSM6;STK24;CARM1;CNOT3;TSR1;CLPTM1L;CDK13;LSM14B;RGL2;GALK2
Lymphoblastoid BTO:0000773 X129.126 HM68.GM12752	22/140	8.04550922379992e-06	4.70868584700598e-05	0	0	3.24835696990661	38.104515174	RAB1A;KHNYN;FNBP1;GBE1;RFTN1;SRP54;TFEB;WIPI2;CBFA2T2;SAFB;FBXO11;SLC2A6;TERF2;PSMB8;TIAL1;RPUSD4;NUDCD2;NHP2;EPC1;CHMP4A;ACAA1;RGL2
Lymphoblastoid BTO:0000773 X131.126 HM68.GM19100	22/140	8.04550922379992e-06	4.70868584700598e-05	0	0	3.24835696990661	38.104515174	RAB1A;KHNYN;FNBP1;GBE1;RFTN1;SRP54;TFEB;WIPI2;CBFA2T2;SAFB;FBXO11;SLC2A6;TERF2;PSMB8;TIAL1;RPUSD4;NUDCD2;NHP2;EPC1;CHMP4A;ACAA1;RGL2
Prostate LNCaP BTO:0001321 LnCap R2	71/763	9.87990104335441e-06	5.74544563858763e-05	0	0	1.81551200166276	20.9237904560198	SCARB2;NRP1;FAAH;PPP1R11;PDCD7;CCDC126;CD81;ROGDI;MRPL38;ICA1;PPP2R2A;GHITM;GBA2;CNDP2;LMNB1;SMPD2;AUH;SMPD1;GATAD1;ARL6IP5;LONP1;EPC1;UQCRFS1;DLAT;ACAA1;PSPH;DFFB;ABCC4;GABARAPL1;BRD1;AKTIP;TRNT1;CBFA2T2;SENP2;PTGR2;FBXO11;ZDHHC17;ATAD3A;SIRT3;RBL2;DDX39B;RFX7;IVD;PPIF;RPP21;RPL26;PIGG;MTRF1L;B4GALT4;NSMAF;MGST3;YTHDC2;SDR39U1;AK3;HNRNPLL;PPOX;TM9SF3;SRM;MBTD1;LMAN2;DCAF11;CBR4;BANP;PEX16;CYB5A;MMAB;NFIA;APEX1;CHPT1;LAMTOR1;RGL2
Brain GaMG BTO:0004860 GAMG R3	59/598	1.00474353752874e-05	5.80589145420087e-05	0	0	1.93067355315194	22.2185641449116	IFITM3;SCARB2;NRP1;CLIC4;PPP1R11;CD81;TMEM51;BICD1;GBA2;TRAM2;ARHGAP35;SMPD1;FTH1;EPC1;TMEM38B;VPS39;CDK5RAP2;GABARAPL1;PRKAB2;ITGA3;AKTIP;TBC1D8;CBFA2T2;SENP2;ATAD3A;ARL4C;KATNAL1;TRIM14;ITGA5;KDELR3;PIGG;SIDT2;PXK;USP12;TPRG1L;CLN3;MICALL2;TRIM47;AMZ2;SLC25A24;TTC13;SEPTIN2;MMAB;EXOC6B;MICAL2;HPS5;RPS26;FMNL3;TMEM59;ARHGAP31;G6PC3;PSMG4;ESYT2;RGL2;ITM2B;FRA10AC1;IL18R1;CDS2;PNPLA2
Hematopoietic PBMC BTO:0001008 879101114 replicate02-2	65/681	1.0532913595656e-05	6.0481447250528e-05	0	0	1.86407553798858	21.3641801337554	CEP57;SIGLEC9;UBE2D3;GIMAP1;GBA2;GIMAP8;FAM107B;HK1;UBASH3B;ABHD16A;ARL6IP5;COTL1;PIP4K2A;EPC1;MFSD1;MAP3K5;YWHAH;CAP1;DFFB;SUN2;GPX1;TPM4;TPM2;TPM1;MINK1;SYTL1;VPS13A;ARAP1;TC2N;CBFA2T2;FBXO11;UNC13D;SIRT3;BCR;RBP7;ACAP2;MAPKAPK3;RIN3;MAPRE2;SLC27A4;CUL5;ITPR1;AK3;CXCR4;ASAP1;CST7;PPOX;MICAL1;FAM177A1;FYN;GBP2;LYN;VASP;TRAPPC10;TTC39B;EHD1;TSPAN15;SNX18;STK24;TBXAS1;STRN;ESYT2;GALM;NIT1;RGL2
Lymphoblastoid BTO:0000773 X128.126 HM68.GM19200	23/153	1.07364488550449e-05	6.12648612790997e-05	0	0	3.08342261267052	35.280108880354	CD53;RAB1A;KHNYN;FNBP1;GBE1;RFTN1;SRP54;TFEB;WIPI2;CBFA2T2;SAFB;FBXO11;SLC2A6;TERF2;PSMB8;TIAL1;RPUSD4;NUDCD2;NHP2;EPC1;CHMP4A;ACAA1;RGL2
Lymphoblastoid BTO:0000773 X128.126 HM20.GM12156	42/377	1.12902908930762e-05	6.40250657476929e-05	0	0	2.19995485709449	25.0609340636315	AGPAT5;IDI1;GTF2A2;SELPLG;WIPF1;CD81;CLEC16A;MRPL34;TGOLN2;NUDCD2;NUP85;PMVK;EPC1;ZNF668;ME2;CCDC50;CD53;TIA1;RBM14;BRF1;FNBP1;TRAPPC10;SWAP70;PAM16;LYSMD2;ACYP2;TBCB;TRNT1;CIP2A;CBFA2T2;FBXO11;APBB1IP;OXA1L;IRF3;CHMP4A;CD47;ADSS2;CDK13;PDE7A;RGL2;ARL8B;SRSF9
Renal HEK-293 BTO:0000007 HEK293 R1	47/443	1.27182796020126e-05	7.16777115841823e-05	0	0	2.08564275230942	23.5103458996724	INO80B;KHDRBS1;DAZAP1;GTF3C5;PDCD7;SRSF1;PPP2R2A;HNRNPLL;GABARAP;OSGEP;MBTD1;PCMT1;CHAF1A;SNRNP70;KHSRP;EPC1;MAP4K5;TMEM38B;CCT5;TMPO;DDX17;GABARAPL1;RBM14;AKTIP;IFRD1;FANCA;NSUN6;CBFA2T2;PHC3;FBXO11;WDR77;HNRNPL;CCT6A;CDK8;POLA2;PRPF18;DDX39B;AEBP2;APEX1;BRMS1L;RPP21;STUB1;UHRF1BP1;DUS3L;GART;FAM8A1;RGL2
Lymphoblastoid BTO:0000773 X131.126 HM19.GM11995	41/367	1.33856094101145e-05	7.49758367572673e-05	0	0	2.20584878662009	24.7525579427576	DENND1C;IDI1;WIPF1;DOCK8;NCF4;CLEC16A;BCL10;TAPBPL;IFI30;OSGEP;TGOLN2;NUDCD2;SNRNP70;RASSF5;EPC1;CCDC50;PGM1;LRRC47;PTPN1;RBM14;MAP2K2;BRF1;FNBP1;FUCA1;LYSMD2;ACYP2;TBCB;TRNT1;CIP2A;CBFA2T2;ATAD3B;FBXO11;WDR11;APBB1IP;CNOT3;ELMO1;GEMIN4;PDE7A;RGL2;SSBP3;TAF3
Lymphoblastoid BTO:0000773 X128.126 HM40.GM18632	33/270	1.48346267135041e-05	8.20849344813892e-05	0	0	2.43546913741355	27.0788767735024	METTL2B;VAC14;CAB39;NCF2;COPB1;RRP1;INTS10;UBR4;BCL10;ACCS;MRPL11;VTI1A;EPC1;PDSS2;PGLS;FBXO7;CBR4;CD53;CD300A;TMC8;CBFA2T2;ATAD3B;FBXO11;CDK11B;POLA2;RILPL2;LYRM4;APC;NDUFAF4;YME1L1;TCF3;RGL2;GALK2
Lymphoblastoid BTO:0000773 X131.126 HM40.GM18511	33/270	1.48346267135041e-05	8.20849344813892e-05	0	0	2.43546913741355	27.0788767735024	METTL2B;VAC14;CAB39;NCF2;COPB1;RRP1;INTS10;UBR4;BCL10;ACCS;MRPL11;VTI1A;EPC1;PDSS2;PGLS;FBXO7;CBR4;CD53;CD300A;TMC8;CBFA2T2;ATAD3B;FBXO11;CDK11B;POLA2;RILPL2;LYRM4;APC;NDUFAF4;YME1L1;TCF3;RGL2;GALK2
Lymphoblastoid BTO:0000773 X126.126 HM38.GM12878	71/774	1.5953345833819e-05	8.65494139772306e-05	0	0	1.78602463135224	19.7281458513524	ARHGAP11A;SMARCAL1;PI4K2B;PPP2R2A;CIB1;IKZF1;WDR89;HERPUD1;FARS2;PREX1;SMPD2;CASP10;RASSF5;TBC1D10C;EPC1;PIEZO1;CHAC2;PRKACA;SPG11;VPS39;UPF2;SH3GLB2;TOR3A;USP3;BAZ1A;TYK2;CBFA2T2;FBXO11;TERF2;ETV6;HLA-E;NCOR2;RPUSD4;FAM210A;PLSCR1;PRPF18;NUP50;EHBP1L1;TNIK;DNMT1;GTF3C5;UHRF2;YTHDC2;ITPR2;FXR2;DHX33;NUP88;ZNF622;KCNN4;BPTF;PEX16;SPAG9;LIMK1;MYO5A;GATB;GTF2H1;RRP1B;SORL1;PHC3;ANKHD1;NIN;ARHGAP31;APC;CCDC9;WNK1;CCDC88C;JMY;PHF14;AVL9;RGL2;SSBP3
