Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
HCFC1 CH12.LX mm9	151/2000	3.00431779088514e-05	0.000222828941982101	0	0	1.46731608405079	15.2789788915602	PDCD7;UXS1;RTCA;APEH;CYB5D2;CDC14A;ZDHHC4;FAM107B;CNDP2;CNST;TBC1D10C;TRAPPC12;EPC1;SNIP1;RNF111;PSPH;CDK5RAP2;MAP2K3;SH3GLB2;PRKAB2;PAM16;GTF3A;DLEC1;MIF4GD;CDC25B;MAPKAPK3;KATNAL1;ORAI3;EHBP1L1;SPECC1L;NHP2;SRSF4;RIN3;UBA52;ARL8B;SRSF9;ANKRD16;SLC35D1;MYCBP2;CUL2;UBR4;UBR2;BCL10;SPATA6;GABARAP;OSGEP;MRPL11;DHX33;DHX34;NTHL1;PMVK;DPH3;DVL3;AMZ2;CEP76;CDK17;NAA50;PRELID1;RABGAP1L;FUCA1;PLK2;EXOC6B;FANCA;CDC7;GPN2;PHC3;IFFO1;WDR54;RPS26;TBCK;POLA2;GCLC;DAP;G6PC3;JMY;STRN;NIT1;CDK13;RAB5A;GALK2;ITM2B;HSP90AB1;CCDC126;MAST3;ADPGK;OGG1;PHF1;FAF1;ZFAND2A;MRPL38;CDC73;PPCDC;SMPD2;AKAP13;ABHD16A;SNRNP70;SMPD1;DDI2;PGLS;BBS7;CCDC50;PELP1;YWHAH;UPF2;SMIM14;PARP6;RBM14;ARHGEF12;PDCD6IP;GPX4;AXIN1;TMC8;TIMM21;ARAP1;SENP2;SUMF2;ETV6;FAM210A;PRPF18;RAD51C;GFOD1;EEF1D;PEX6;PABPC1;ATP6V0C;UHRF2;CAB39;PRCC;CXCR4;COX5B;NAPG;CST3;LMAN2;BNIP2;LRIG2;EXOSC3;MMAB;RFTN1;GTF2H1;TMCO1;WDR11;RAB10;FMNL3;TMEM59;SNX18;RAD50;APC;TSR1;CENPN;SMAP2;FRA10AC1
ZC3H11A K562 hg19	151/2000	3.00431779088514e-05	0.000222828941982101	0	0	1.46731608405079	15.2789788915602	SCARB2;MAML2;ROGDI;PREP;CIB1;IFI30;ABHD13;ZMIZ1;FTH1;ARL6IP5;EP300;ZNF569;CHAC2;AZI2;VPS39;PSPH;MAP3K5;MCCC2;MYLIP;ZNF561;PRKAB2;MREG;STARD7;USP3;ANGEL2;CMC1;METTL3;SSU72;SYTL1;ARMC7;PRKAB1;CDC25B;ACAP2;THAP6;MSH2;ORAI3;YME1L1;RPL26;SNRPF;UBA52;FAM8A1;ZNF276;INO80B;RNASEH2B;POM121;DNMT1;COPB1;FBF1;CUL2;UBR4;CLEC16A;SDR39U1;AAAS;CDKN2AIP;TGOLN2;DHX33;NUP85;VTI1A;MARK2;NEK9;NEK7;TBCB;GPN2;RPS26;NR4A2;TBXAS1;CNOT3;REL;CALM1;RAB5A;ZNF254;KDM5A;C2ORF42;OGG1;ZFAND2A;RPLP0;INTS10;MRPL38;MRPL34;ABCC10;HERPUD1;LMNB1;FARS2;DDI2;GATAD1;PDE4A;CD33;YWHAH;DFFB;RBM14;TTC32;CAMLG;DDX58;PABPC4;DCAKD;AXIN1;NSUN6;RABGGTB;SAFB;TERF2;DCK;SUMF2;RPUSD4;RBL2;PRPF18;RAD51C;RILPL2;CTDSP2;PIGG;RNF166;B4GALT4;VAC14;GTF2A2;CAB39;ODC1;SRSF1;HSD17B11;RCHY1;NAPG;TBRG1;LMAN2;BNIP2;ZNF227;ZNF622;EXOSC3;PCNT;MAP4K5;RELT;METTL9;TRIM44;CCT4;PEX16;PTPN1;WWOX;CDK11A;CMTM3;ZNF184;FEM1B;SPAG4;AP3D1;GTF2H1;PTPN11;HNRNPAB;CDK11B;BYSL;NUDT22;ETAA1;SNX18;PINK1;CCDC9;AGGF1
MAX CH12.LX mm9	151/2000	3.00431779088514e-05	0.000222828941982101	0	0	1.46731608405079	15.2789788915602	ZFAND4;PDCD7;UXS1;PREP;CAAP1;PPP2R2A;APEH;ZDHHC2;CDC14A;SMCHD1;ZMIZ1;COTL1;SNIP1;MLYCD;SH3GL1;PLEKHJ1;MCCC2;SH3GLB2;PRKAB2;NSMCE1;GTF3A;ACOT13;IMP4;ARMC7;PRKCA;LAX1;RUNX2;CDC25B;WDR77;MSH2;ZFYVE19;RIN3;KDELR3;ANKRA2;UBA52;ABCG1;SRSF9;POM121;CUL2;ITPR1;BCL10;AAAS;MTMR6;CDKN2AIP;TGOLN2;NTHL1;PMVK;DPH3;AMZ2;AP4S1;NUP88;KDSR;SLC15A4;CDK17;NAA50;NEK9;UVRAG;PRELID1;BTN2A2;CCDC12;SLC35E1;FANCA;IFT122;GPN2;PARP14;WDR54;SMARCA4;GGCT;TBCK;POLA2;IRAK1BP1;DAP;G6PC3;UBXN11;CNOT3;UNC119;TCF4;AVL9;CALM1;RBAK;RAB5A;ITM2B;DAZAP1;OGG1;FAF1;INTS10;DDX41;CHAF1A;NUDCD2;ABHD16A;IMPA2;SMPD1;PGLS;HAVCR2;UPF2;SLC36A1;DFFB;PARP6;ABCC4;RBM14;PDCD6IP;MINK1;VPS13A;HAUS4;TMC8;FOS;UCHL3;PTGR2;SENP3;SUMF1;RAD51C;EEF1D;PEX3;TRAPPC6B;CD47;PABPC1;ATP6V0C;MAPRE2;GRAMD1B;GOSR2;DERL2;COX5B;NT5C;ERICH1;RNF138;MICALL2;EXOSC3;PCNT;UBQLN4;BRF1;CMTM3;FOXJ2;RPL23A;ELP3;TTC39C;HNRNPAB;CDK11B;TMCO1;POLE4;ASXL1;FMNL3;SNX18;PINK1;RAD50;LYRM4;CAPN10;BRMS1L;TSR1;CENPN;LAMTOR1;TRMT61B
ELK4 HeLa-S3 hg19	151/2000	3.00431779088514e-05	0.000222828941982101	0	0	1.46731608405079	15.2789788915602	SLC35B3;ANKRD37;PDCD7;DCAF8;CIB2;ACCS;GBA2;ZDHHC4;ABHD13;ALCAM;TRAPPC12;SNIP1;ARFIP1;SBDSP1;RPS10;VPS39;PSPH;CAST;PIH1D1;ARRDC2;METTL3;SSU72;IMP4;MOGS;PRKAB1;LEMD2;THAP6;TMX2;SRSF4;DUS3L;UBA52;FAM8A1;ARL8B;SRSF9;ZNF276;INO80B;KHDRBS1;METTL2B;POM121;COPB1;CLEC16A;MTMR9;SDR39U1;UBR2;MTMR6;CDKN2AIP;DHX33;DHX34;PMVK;BLOC1S3;SLC38A6;MARK2;NR2C2AP;NEK9;RABGAP1L;TNFRSF10A;CNOT10;ARPC5;HPS5;SUPT5H;ZZEF1;RPS26;POLA2;NASP;NDUFAF4;NAPEPLD;ZNF778;AVL9;NIT1;RBAK;GALK2;EIF4G2;PICALM;BTG1;CCDC126;ADPGK;OGG1;FAF1;ZFAND2A;RPLP0;CEP164;MRPL38;BRCA1;PTPN23;MRPL34;AATF;NAGPA;CDC73;LMNB1;SPRED2;SART3;GATAD1;UQCRFS1;RAC1;UBXN4;LRRC47;UPF2;CAP1;RFC5;PDCD6IP;MIOS;GPX4;NSUN6;WIPI2;TYK2;ARAP1;PTGR2;TERF2;DCK;MED29;PRPF18;RAD51C;TRAPPC6B;NUP50;PEX6;PIGG;ATP6V0C;RAB7A;VAC14;GTF2A2;SFSWAP;C2ORF68;RNF6;RCHY1;COX5B;TBRG1;CLN3;RAB40C;RNF138;TDG;LMAN2;RAB24;ZNF227;EXOSC3;GBP2;METTL9;CBR4;ZNF286A;PTPN1;CDK11A;FEM1B;ELP3;GTF2H1;CDK11B;TMCO1;NUDT22;ETAA1;NFIA;APC;MFAP3;SMAP2
SMARCB1 HeLa-S3 hg19	151/2000	3.00431779088514e-05	0.000222828941982101	0	0	1.46731608405079	15.2789788915602	SCARB2;SLC35B3;ANKRD37;ZFAND4;RRP1;CDC14A;DCAF6;ABHD13;SMCHD1;CNST;WDR92;LONP1;PIEZO1;ARFIP1;PLEKHJ1;PRKAB2;IAH1;KHNYN;MOGS;PRKCA;PRKAB1;FBXO11;THAP2;WDR77;FLJ37453;MAPKAPK3;SLC27A4;ZNF276;LRPAP1;IDI1;SEH1L;ANKRD16;ITPR1;UBR4;SLC38A10;CREBL2;AAAS;CDKN2AIP;NTHL1;NUP85;MICAL1;PMVK;DPH3;VTI1A;DVL2;AMZ2;SNX9;NUP88;CEP76;SLC15A4;BANP;IVNS1ABP;NEK9;UVRAG;CDK19;CCDC12;GADD45B;MLKL;PLK2;SETDB2;MICAL2;MYO5A;IFT122;TRAPPC8;ARPC5;QKI;WDR54;GGCT;EHD1;CCT6A;CDK8;POLA2;DAP;EFNA3;STK24;TBXAS1;HNRNPD;MPHOSPH10;PSMG1;STRN;AVL9;NIT1;RGL2;RAB5A;GALK2;C2ORF42;HSP90AB1;CCDC126;ADPGK;DDX41;PTPN23;AATF;BICD1;AKAP13;ING2;IMPA2;PPP2R5E;RFK;YWHAH;CAP1;SUN2;ABCC4;CNOT6L;MIOS;AKTIP;TBC1D8;HAUS4;UCHL3;ZDHHC17;DDB2;SUMF1;FAM210A;SLTM;OAS3;NAA35;ATP6V0C;RNF166;B4GALT4;AVPI1;RAB1A;GTF2A2;SRSF1;COX5B;PPOX;TDG;PDE6D;PDSS2;STX4;ZNF622;LRIG2;E2F6;TRIM44;SLC25A24;SLC12A2;PEX16;RWDD1;PTPN1;USP25;TTC13;MMAB;SPAG4;DONSON;NUDT22;RAB10;FMNL3;TSPAN15;SLCO3A1;CAPN10;PDE7A;TAF3;TRMT61B
KAT2A CH12.LX mm9	151/2000	3.00431779088514e-05	0.000222828941982101	0	0	1.46731608405079	15.2789788915602	PDCD7;RTCA;GIMAP1;ROGDI;CISD2;CAAP1;APEH;GBA2;CYB5D2;ETS2;ZDHHC4;CNDP2;HERC4;SMCHD1;IPO9;ZMIZ1;TRAPPC12;SNIP1;MLYCD;IER5;RNF111;PSPH;TMPO;PLEKHJ1;MAP2K3;PRKAB2;STARD7;DDX11;PIH1D1;CMC1;IFRD1;PAM16;GTF3A;PRKCA;TRNT1;LEMD2;CLPX;PDIA4;OXA1L;KATNAL1;ORAI3;EHBP1L1;ANKRD40;ANKRA2;SIDT2;RNASEH2B;POM121;SLC38A10;BCL10;AAAS;SNX3;DHX34;NTHL1;DPH3;DVL2;SNX9;MARK2;PRELID1;PLK2;FANCA;IFT122;CNOT10;TBCB;GPN2;PHC3;SMARCA4;TBCK;POLA2;G6PC3;UBXN11;NDUFAF4;CDC16;PHF14;SPRTN;UNC119;MPHOSPH10;NIT1;CALM1;EIF4G2;ITM2B;PICALM;ARHGAP11A;DAZAP1;ADPGK;OGG1;DOCK8;AMD1;MRPL38;DDX41;MRPL34;AATF;CHAF1A;NUDCD2;ABHD16A;AUH;MFSD1;ME2;RAC1;YWHAH;LRRC47;SMIM14;RBM14;PDCD6IP;GPX4;ACTR5;MINK1;HAUS4;TFEB;AXIN1;ARAP1;SAFB;ZDHHC17;DDB2;SIRT3;RPUSD4;PLSCR1;PRPF18;RAD51C;SLTM;IRF3;EEF1D;PEX3;PEX6;AGPAT5;CAB39;TM2D1;COX5B;NAPG;TBRG1;TGS1;RAB24;LRIG2;CCT5;CBR4;BRF1;CMTM3;MMAB;WDR18;LYSMD2;ELP2;RPL23A;RRP1B;BYSL;POLE4;ATAT1;SLC25A37;BRMS1L;TTC3;CENPN;TAF3;SSBP3
ATF2 GM12878 hg19	128/1641	3.0311289901977e-05	0.000222828941982101	0	0	1.51331532751816	15.7445180047188	SMARCAL1;IFITM1;TMEM41B;RRP1;PPP2R2A;GHITM;IFI30;WDR89;ZDHHC4;CNDP2;CNST;WDR92;SNIP1;ZNF569;ARFIP1;SBDSP1;MAP2K2;CMC1;SSU72;LEMD2;SCAMP3;HLA-E;OXA1L;SIDT1;NHP2;YME1L1;SRSF4;ANKRD40;RPL26;UBA52;METTL2B;INO80D;YTHDC2;MGST3;COPB1;CUL2;ITPR1;UBR4;MTMR9;SDR39U1;CREBL2;UBR2;OAZ1;RIC8A;DHX33;NUP85;DVL2;SLC38A6;TNFRSF17;ZNF668;NEK9;TBCB;HPS5;SUPT5H;GGCT;EHD1;RPS26;GCLC;G6PC3;LSM6;NASP;TRIP6;CALM1;RBAK;RGL2;GPR18;GALK2;CDS2;ADPGK;OGG1;INTS10;MRPL38;ADAR;BRCA1;ABCC10;PPCDC;RPTOR;SART3;GATAD1;PDE4A;UBXN4;POLH;RFC5;TTC32;CAMLG;ACAD9;HAUS4;NSUN6;FOS;RABGGTB;SENP2;TERF2;SUMF2;SUMF1;FAM210A;PRPF18;RAD51C;PEX3;OAS2;PEX6;PIGG;BDP1;MTRF1L;RNF166;RAB1A;SELPLG;GPS2;RNF138;TDG;EXOSC3;DCAF11;E2F6;RPL17;METTL9;CCT5;CCT4;CDK11A;IL10RA;TMED7-TICAM2;GTF2H1;CDK11B;BYSL;SLC25A37;CCDC9;AGGF1;ESYT2;TRMT61B;FRA10AC1
CTCF K562 hg19	313/4670	3.18694739223595e-05	0.000232191881434334	0	0	1.32750464499576	13.7447998145571	SLC35B3;SMARCAL1;CHIC2;IFITM2;TMEM41B;MAML2;UXS1;RRP1;PREP;GHITM;ACCS;ZDHHC2;PCMT1;WDR92;ZMIZ1;LONP1;CHAC2;CCNL2;SBDSP1;FBXO7;RPS10;PRKAB2;STARD7;C17ORF49;IFRD1;METTL3;NSMCE1;SYTL1;MOGS;ARMC7;PRKCA;MFSD11;PRKAB1;MIF4GD;THAP2;UNC13D;WDR77;BCR;KATNAL1;TFR2;ZFYVE19;KCNQ1;TRIM14;YME1L1;UHRF1BP1;RPL26;KCTD17;UBA52;ZNF276;POM121;MGST3;MTMR9;SDR39U1;AAAS;OAZ1;MTMR6;CDKN2AIP;OSGEP;SNX3;TGOLN2;FXR2;DHX33;DHX34;NTHL1;MICAL1;DPH3;VTI1A;SNX9;CEP76;CDK17;VASP;PRELID1;CCZ1B;FUCA1;XRCC3;SETDB2;EXOC6B;MYO5A;GPN2;PHC3;EHD1;RPS26;SLC6A6;WNK1;NDUFAF4;ZNF814;PSMG1;ATM;CALM1;RBAK;CDS2;ITM2C;CCDC126;OGG1;FAF1;ZFAND2A;RPLP0;MRPL38;TMEM51;BRCA1;MRPL34;AATF;ABCC10;EEA1;SMPD2;CASP10;RFK;UBXN4;HTATIP2;UPF2;DFFB;PRORSD1P;ATMIN;CAMLG;PABPC4;ACAD9;NSUN6;FOS;PTGR2;SUMF2;SIRT3;SUMF1;FAM210A;KAT2B;PLSCR1;PRPF18;RAD51C;RILPL2;SLTM;PABPC1;PIGG;RNF166;SELPLG;CAB39;PELI2;SCAF8;RNF138;LMAN2;GCNT2;METTL7B;EXOSC3;MAP4K5;RELT;METTL9;CBR4;CCT4;IL10RA;WDR18;RRP1B;DCBLD1;GATAD2B;BYSL;TMCO1;NUDT22;TMEM59;SNX18;LYRM4;APEX1;CAMK4;AGGF1;CCNYL1;ESYT2;RTN4IP1;LAMTOR1;FRA10AC1;MIDN;TOR2A;DGKD;ZFAND4;CIB2;ETS2;SMCHD1;IPO9;EP300;ZNF569;AZI2;MAP3K5;SH3GL1;PLEKHJ1;MYLIP;MAP2K2;MREG;IGFBP4;USP3;ANGEL2;SSU72;ACOT13;TRNT1;GTF2F1;CDC25B;PDIA4;EDAR;MAPKAPK3;TMX2;STIM2;SPECC1L;GEMIN4;PPIF;SRSF4;ANKRD40;FAM8A1;ARL8B;NSMAF;SRSF9;KHDRBS1;METTL2B;RNASEH2B;INO80D;CUL5;YTHDC2;ITPR1;AK3;UBR2;BCL2L11;MAN2A1;DVL2;SLC38A6;ZNF668;BPTF;IVNS1ABP;NEK9;TIA1;SLC37A1;ACBD4;CCDC12;FANCA;IFT122;TNFRSF10A;SUPT5H;ANKHD1;G6PC3;JMY;GALK2;EIF4G2;PICALM;ARHGAP11A;SLC48A1;KDM5A;C2ORF42;HSP90AB1;SRXN1;MAST3;DOCK8;AMD1;CDC73;SPRED2;PPP2R5E;GATAD1;UQCRFS1;PDE4A;SPG11;POLH;PELP1;SLC36A1;RBM14;TTC32;DDX58;VPS13A;AXIN1;IQCE;WIPI2;RABGGTB;SAFB;DCK;PEX3;DDAH2;TRAPPC6B;IRF1;OAS3;POLR1D;AGPAT5;RAB1A;TRIM52;UHRF2;RNF6;HSD17B11;SRM;SLC25A28;RAB40C;ERICH1;TBX21;TDG;TGS1;RSBN1L;RAB24;TRIM47;BNIP2;PDSS2;FYN;LRIG2;DCAF11;UBQLN4;SLC12A2;RWDD1;PTPN1;USP25;CDK11A;TTC13;TMED7-TICAM2;DONSON;DTNBP1;PTPN11;HNRNPAB;SORL1;CDK11B;TTC39B;POLE4;FMNL3;SLC25A37;PINK1;APC;CARM1;SSBP4
USF1 SK-N-SH hg19	196/2726	3.40978728095139e-05	0.000246228886836844	0	0	1.40286473818602	14.4302532655813	CHIC2;PANK3;TMEM41B;RRP1;PITPNA;CISD2;ACCS;ZDHHC4;HERC4;ALCAM;CNST;FTH1;ARL6IP5;LONP1;IER5;CDK5RAP2;MCCC2;ARRDC2;SCAMP3;WDR77;HLA-E;RUNX1;THAP6;ORAI3;ANKRA2;UBA52;POM121;TPRG1L;SDR39U1;OSGEP;SNX3;PTDSS1;DHX33;NTHL1;BLOC1S3;AMZ2;NR2C2AP;PRELID1;GADD45B;XRCC3;PHC3;IFFO1;ZNF814;CDC16;TRIP6;HNRNPD;PSMG1;AVL9;CALM1;BTG1;CCDC126;FAF1;MRPL38;ICA1;MRPL34;AATF;PPCDC;HERPUD1;CHAF1A;SMPD1;FLVCR2;LRRC47;UPF2;CAP1;DFFB;MIOS;SLC2A13;ACAD9;C1ORF43;TERF2;ZDHHC17;DDB2;SUMF1;RPUSD4;FAM210A;PIGG;ATP6V0C;MAPRE2;RNF166;VGLL4;RAB7A;TM9SF3;EXOSC3;PCNT;MAP4K5;RNF130;WDR18;AP3D1;ELP3;GTF2H1;RRP1B;WDR11;TMEM59;CCDC9;APEX1;TTC3;CCNYL1;ESYT2;LAMTOR1;FRA10AC1;SCARB2;ANKRD37;TOR2A;UBE2D3;SAT2;CNDP2;SNIP1;AZI2;PSPH;SH3GL1;TOR3A;SWAP70;GTF3A;ACOT13;UBE4B;TRNT1;LEMD2;PDIA4;ACAP2;STIM2;NHP2;CHMP4A;SNRPF;ARL8B;KHDRBS1;DNMT1;PXK;YTHDC2;ITPR1;CLEC16A;CREBL2;DVL2;NLRP1;SLC15A4;BPTF;IVNS1ABP;UVRAG;TRAPPC8;TBCB;ARPC5;HPS5;SUPT5H;FBXO33;ANKHD1;GCLC;G6PC3;JMY;ZNF778;RAB5A;C2ORF42;MAST3;ADPGK;ADAR;PTPN23;NAGPA;SLC2A6;PPP2R5E;GATAD1;UQCRFS1;MFSD1;SPG11;POLH;SLC36A1;GPX1;PDCD6IP;GPX4;TBC1D8;ARAP1;DCK;IRF3;NUP50;BDP1;HDAC5;VAC14;UHRF2;GOSR2;RCHY1;PPOX;SRM;CLN3;ERICH1;TDG;SAP30L;RAB24;DCAF11;E2F6;EIF4B;ZNF286A;CYB5A;TTC13;TMED7-TICAM2;SLC25A37;RAD50;CAPN10;MFAP3;TRMT61B
ATF3 A549 hg19	150/1991	3.56784120711892e-05	0.000255382317983249	0	0	1.46307784670802	14.9833286633833	TOR2A;CYB5D2;DCAF6;TIAL1;ALCAM;CNST;WDR92;LONP1;TRAPPC12;ZNF569;IER5;TMPO;CDK5RAP2;PRKAB2;PIH1D1;GTF3A;ARMC7;SCAMP3;CDC25B;MSH2;ANKRD40;RPL26;SNRPF;ARL8B;SRSF9;ZNF276;INO80B;KHDRBS1;DNMT1;TXNDC9;CUL2;MTMR9;CREBL2;AAAS;OSGEP;MBTD1;TGOLN2;FXR2;NUP85;DPH3;VTI1A;DVL2;ZNF668;AMZ2;NUP88;LTA4H;BPTF;VASP;TIA1;CCDC12;GADD45B;PLK2;CNOT10;CDC7;TBCB;HPS5;SUPT5H;ZZEF1;SMARCA4;RPS26;POLA2;G6PC3;HNRNPD;MPHOSPH10;CALM1;RBAK;RGL2;RAB5A;GALK2;EIF4G2;KDM5A;C2ORF42;HSP90AB1;BTG1;ADPGK;ZFAND2A;RPLP0;MRPL38;SRP54;BRCA1;DDX41;AATF;NAGPA;CDC73;LMNB1;RPTOR;SPRED2;NUDCD2;SNRNP70;GATAD1;MFSD1;PDE4A;SPG11;PELP1;SLC36A1;RBM14;PDCD6IP;TTC32;ACAD9;HAUS4;C1ORF43;WIPI2;SAFB;MED29;SUMF2;SUMF1;RPUSD4;PRPF18;SLTM;EEF1D;PEX3;TRAPPC6B;BDP1;GTF2A2;TRIM52;GTF3C5;CAB39;SFSWAP;C2ORF68;GOSR2;PRCC;SRSF1;GPS2;NT5C;SCAF8;AFG3L1P;SERTAD1;TDG;LMAN2;ZNF227;E2F6;METTL9;EIF4B;CCT5;CCT4;PEX16;RWDD1;FEM1B;GTF2H1;PTPN11;HNRNPAB;BYSL;WDR11;RAB10;RAD50;APEX1;P4HB;VIM;TRMT61B;FRA10AC1
CTCF GM12878 hg19	287/4238	3.68584471084418e-05	0.000261534720352074	0	0	1.33566167096751	13.6350029765748	IFITM2;TMEM41B;MAML2;RRP1;GHITM;ACCS;ZDHHC4;ALCAM;ZMIZ1;CHAC2;FBXO7;RPS10;PDK2;TMPO;PRKAB2;HLA-H;STARD7;C17ORF49;CMC1;METTL3;NSMCE1;MOGS;ARMC7;MFSD11;MIF4GD;SCAMP3;THAP2;WDR77;BCR;TIAM1;THAP6;ZFYVE19;TRIM14;YME1L1;UHRF1BP1;RPL26;KCTD17;ANKRA2;TSPYL4;POM121;TPRG1L;MTMR9;TAPBPL;AAAS;OAZ1;MTMR6;CDKN2AIP;MRPL11;SNX3;TGOLN2;FXR2;DHX34;NTHL1;MICAL1;INPP5D;DPH3;VTI1A;AMZ2;SNX9;ZNF821;LYN;CDK17;PRELID1;CCZ1B;GADD45B;FUCA1;MYO5A;PARP14;PHC3;IFFO1;EHD1;CCT6A;WNK1;NDUFAF4;ZNF814;CALM1;CDK13;CDS2;ITM2C;CCDC126;OGG1;RPLP0;MRPL38;TMEM51;MRPL34;ABCC10;PPCDC;EEA1;RPTOR;SMPD2;CASP10;RFK;CAP1;DFFB;PRORSD1P;ATMIN;MIOS;CAMLG;PABPC4;MINK1;NSUN6;UCHL3;MED29;SUMF2;SUMF1;APBB1IP;RPUSD4;FAM210A;KAT2B;PRPF18;SLTM;AEBP2;PIGG;SELPLG;CAB39;PELI2;GPS2;CXCR4;FAM214A;SCAF8;METTL7B;EXOSC3;MAP4K5;RELT;RPL17;CBR4;CCT4;WWOX;BRF1;IL10RA;WDR18;RFTN1;RRP1B;TMCO1;NUDT22;ETAA1;CAMK4;CCNYL1;ESYT2;FRA10AC1;TOR2A;DGKD;ZFAND4;PDCD7;UPK2;CIB2;CIB1;TMEM140;ETS2;SMCHD1;IPO9;COTL1;EP300;MB21D2;AZI2;MAP3K5;SH3GL1;PLEKHJ1;MYLIP;ZNF561;MREG;CD300A;ACOT13;ACYP2;TRNT1;GTF2F1;LEMD2;CDC25B;PDIA4;EDAR;SHQ1;TMX2;STIM2;SPECC1L;GEMIN4;PPIF;NHP2;ELMO1;SRSF4;ANKRD40;SNRPF;FKBP4;FAM8A1;ARL8B;NSMAF;SRSF9;INO80B;METTL2B;RNASEH2B;PXK;INO80D;CUL5;TNKS;YTHDC2;ITPR1;CLEC16A;ITPR2;SLC38A10;CREBL2;UBR2;ITPRIPL1;DVL2;SLC38A6;ZNF668;TNFRSF14;IVNS1ABP;NEK9;SLC37A1;MLKL;FANCA;TNFRSF10A;CNOT10;HPS5;SUPT5H;NR4A2;DAP;G6PC3;SON;JMY;NIT1;RAB5A;GALK2;WRAP53;SLC48A1;C2ORF42;CIITA;SRXN1;CDC73;SPRED2;ARL5B;GATAD1;PDE4A;ME2;SPG11;CCDC50;POLH;YWHAH;SLC36A1;RFC5;ABCC4;GPX4;ITGA3;VPS13A;AXIN1;TRAF1;RBL2;DDAH2;IRF1;OAS3;NAA35;MTRF1L;RAB1A;VAC14;TRIM52;C2ORF68;USP12;RNF6;HSD17B11;PPOX;SRM;AFG3L1P;TBX21;TDG;TGS1;RSBN1L;RAB24;TRIM47;PDSS2;FYN;LRIG2;UBQLN4;EIF4B;PTPN1;USP25;TTC13;ZNF184;TMED7-TICAM2;RPL23A;HNRNPAB;SORL1;TTC39B;SLC25A37;PINK1;RAD50;CARM1;MFAP3;SSBP4
CEBPB HepG2 hg19	250/3621	3.90410581270641e-05	0.000274633650273141	0	0	1.35489556249673	13.7534048848739	IFITM3;SMARCAL1;IFITM2;PANK3;TMEM41B;RRP1;PITPNA;DCAF8;PPP2R2A;GHITM;ACCS;IFI30;WDR89;GBA2;CYB5D2;ZDHHC4;ZMIZ1;EPC1;GABARAPL1;STARD7;C17ORF49;ACTN1;IFRD1;METTL3;NSMCE1;MOGS;PRKAB1;MIF4GD;HLA-E;UHRF1BP1;RPL26;DUS3L;TSPYL4;SLC35D1;MAPKAP1;MTMR9;SDR39U1;OAZ1;GABARAP;SNX3;FXR2;DHX33;DHX34;NTHL1;BLOC1S3;DPH3;AMZ2;LTA4H;NR2C2AP;BANP;LYN;NAA50;FUCA1;EXOC6B;CDC7;PHC3;MED13L;CCT6A;MLLT10;SESTD1;NDUFAF2;REL;ATM;CDK13;CDS2;CEP57;DAZAP1;BTG1;FAF1;GBE1;RPLP0;MRPL38;BRCA1;AATF;TRAM2;HERPUD1;FARS2;CHAF1A;NUDCD2;RFK;CAP1;NSUN6;FOS;TIMM21;TERF2;MED29;SUMF2;FAM210A;RAD51C;RILPL2;SLTM;PIGG;MAPRE2;RNF166;AVPI1;RAB7A;CAB39;ODC1;COX5B;NAPG;RNF138;PSMB1;FAM177A1;PCNT;METTL9;CCT5;CBR4;CCT4;PEX16;ELP2;ELP3;RRP1B;BYSL;NFIA;CCDC9;AGGF1;CENPN;ESYT2;LGR4;FRA10AC1;PNPLA2;ZFAND4;SAT2;APEH;TMEM140;BEST1;ABHD13;COTL1;TRAPPC12;ZNF569;SH3GL1;PLEKHJ1;CAST;KHNYN;IGFBP4;USP3;ANGEL2;SPNS3;ACOT13;ACYP2;TRNT1;ATAD3B;GTF2F1;ATAD3A;PDIA4;SHQ1;MSH2;PPIF;NHP2;SRSF4;ANKRD40;CHMP4A;SNRPF;FAM8A1;ABCG1;SLC27A4;SIDT2;INO80B;METTL2B;IDI1;TXNDC9;YTHDC2;COPB1;CUL2;ITPR1;UBR4;CLEC16A;UBR2;ANKRD28;NEK9;UVRAG;TIA1;CCDC12;FANCA;IFT122;TNFRSF10A;ARPC5;FBXO33;QKI;ANKHD1;ZZEF1;GGCT;DAP;JMY;PHF14;TCF3;NIT1;KDM5A;SRXN1;ADPGK;ADAR;PTPN23;NAGPA;LMNB1;HK1;HEBP1;ARL5B;DDI2;UQCRFS1;PDE4A;PGLS;PELP1;SUN2;ARHGEF12;GPX1;PLEKHG2;GPX4;DCAKD;AKTIP;SAFB;SENP2;GFOD1;PEX3;NUP50;OAS3;BDP1;HDAC4;HDAC5;RAB1A;TM2D1;GOSR2;PRCC;RNF6;HSD17B11;SLC25A28;RAB40C;RSBN1L;FEM1C;FYN;ZNF622;DCAF11;GBP2;EIF4B;RWDD1;CYB5A;FEM1B;MMAB;TMED7-TICAM2;RPL23A;PTPN11;HNRNPAB;TTC39B;SLC25A37;APC;BRMS1L;CHPT1;GALM;P4HB;PDE7A;TRMT61B
